"Age","Gender","Region","States"
4,2,"South","NC"
4,2,"West","CO"
3,2,"West","WA"
3,1,"South","TX"
3,1,"Midwsest","MO"
3,1,"South","FL"
4,2,"West","OR"
3,2,"South","TX"
4,2,"West","AZ"
2,1,"Midwsest","MO"
3,1,"South","TX"
4,2,"Midwsest","OH"
4,2,"Northeast","PA"
4,2,"West","NM"
4,2,"South","FL"
4,2,"West","CA"
2,2,"Northeast","NY"
4,2,"South","FL"
4,2,"West","MT"
4,2,"West","AZ"
4,2,"West","AZ"
2,2,"Northeast","NJ"
4,2,"West","OR"
3,2,"Northeast","NJ"
4,1,"Midwsest","IL"
3,1,"Midwsest","OH"
3,1,"Midwsest","SD"
3,2,"West","CO"
4,2,"West","WA"
2,2,"West","WA"
3,2,"West","CO"
3,2,"South","MD"
2,1,"Midwsest","IL"
2,1,"Midwsest","OH"
3,2,"West","CA"
4,2,"Northeast","NY"
3,2,"West","CA"
4,1,"Northeast","MA"
3,1,"Midwsest","IL"
2,2,"Northeast","NY"
3,1,"West","WA"
2,2,"Northeast","NY"
4,1,"Midwsest","OH"
2,3,"West","CA"
4,2,"Midwsest","OH"
2,2,"Midwsest","OH"
3,2,"South","GA"
3,2,"South","GA"
3,2,"Northeast","PA"
4,2,"South","AR"
3,2,"Midwsest","IL"
4,2,"Northeast","NY"
3,2,"Northeast","NY"
2,2,"South","FL"
4,2,"Midwsest","OH"
3,1,"South","TX"
4,1,"West","CA"
2,1,"South","FL"
4,2,"West","CA"
3,2,"South","NC"
3,1,"West","WA"
2,1,"South","TX"
3,1,"Midwsest","WI"
4,2,"South","KY"
2,1,"South","FL"
3,1,"Northeast","NY"
4,2,"West","CA"
3,2,"South","AR"
3,2,"South","VA"
4,1,"South","MD"
4,2,"West","AZ"
4,2,"South","FL"
4,2,"Northeast","NY"
4,2,"West","WA"
4,2,"Northeast","NY"
3,1,"South","VA"
4,2,"South","MD"
3,1,"West","WA"
4,1,"West","WA"
4,2,"West","CA"
4,2,"Midwsest","IN"
4,2,"Midwsest","IL"
4,2,"Midwsest","IL"
4,2,"Midwsest","OH"
4,2,"West","AZ"
4,2,"South","TX"
4,2,"West","CO"
4,1,"West","AZ"
4,2,"West","AZ"
3,2,"South","MD"
4,1,"West","WA"
4,1,"Midwsest","IL"
4,2,"West","CO"
3,2,"South","FL"
2,1,"Midwsest","MI"
2,2,"South","FL"
3,2,"Northeast","NJ"
2,2,"South","GA"
3,2,"South","NC"
3,2,"South","TX"
4,2,"South","FL"
4,2,"South","NC"
3,2,"South","AR"
3,2,"South","FL"
4,2,"West","ID"
4,1,"South","TX"
3,2,"South","FL"
3,1,"Midwsest","IL"
4,1,"Northeast","NY"
3,1,"Northeast","NY"
3,2,"South","TX"
2,2,"South","FL"
2,2,"West","AZ"
4,2,"Midwsest","IL"
3,2,"South","TX"
3,2,"South","FL"
3,2,"West","CA"
3,2,"South","VA"
3,2,"South","TX"
4,1,"Midwsest","IL"
3,2,"South","TX"
4,2,"South","FL"
3,2,"South","FL"
3,2,"West","CA"
4,1,"West","CO"
3,2,"West","UT"
3,1,"South","TX"
2,1,"Northeast","PA"
4,2,"Midwsest","IA"
2,2,"Midwsest","OH"
4,2,"South","NC"
3,1,"Midwsest","IL"
4,1,"Midwsest","MI"
4,2,"Midwsest","MO"
4,2,"West","NM"
4,2,"West","CA"
2,2,"Midwsest","MI"
1,2,"Midwsest","IL"
3,2,"South","NC"
4,1,"South","NC"
3,2,"South","FL"
3,2,"Midwsest","WI"
4,2,"Northeast","NY"
4,2,"Midwsest","MI"
2,2,"South","DE"
4,1,"West","ID"
4,2,"West","CA"
4,2,"West","CA"
2,2,"South","TX"
3,2,"Northeast","NY"
4,1,"Northeast","PA"
4,2,"West","CA"
3,2,"West","WY"
3,2,"West","CA"
3,1,"South","GA"
4,2,"South","TX"
4,2,"West","CA"
3,1,"West","CA"
4,1,"West","CA"
3,2,"West","CA"
4,1,"West","CO"
2,1,"Northeast","PA"
3,2,"South","TX"
4,2,"South","FL"
4,2,"Midwsest","MO"
3,2,"Northeast","NJ"
4,1,"South","FL"
2,2,"South","TX"
2,2,"West","CA"
2,2,"Midwsest","IL"
1,2,"West","WA"
2,1,"South","VA"
4,1,"South","NC"
4,1,"Midwsest","MI"
3,1,"Northeast","NY"
4,1,"Northeast","ME"
3,2,"Midwsest","MO"
2,1,"West","CA"
4,1,"South","FL"
3,2,"South","MD"
4,1,"Midwsest","MN"
3,1,"South","OK"
4,2,"Midwsest","OH"
2,2,"South","FL"
