"Age","Gender","Region","States"
4,1,"West","AZ"
4,1,"South","GA"
4,2,"Northeast","RI"
3,1,"Northeast","PA"
3,3,"South","SC"
3,2,"South","MD"
4,2,"Northeast","NY"
3,1,"South","NC"
3,1,"Northeast","NY"
3,1,"Midwsest","IL"
2,2,"South","FL"
2,2,"South","MS"
4,2,"South","TX"
3,2,"West","CO"
4,1,"Midwsest","WI"
3,2,"South","FL"
3,1,"South","TN"
3,1,"South","MD"
4,1,"West","CA"
4,1,"South","TX"
3,1,"South","DC"
2,2,"South","FL"
4,2,"Midwsest","IL"
4,1,"West","HI"
3,2,"South","FL"
2,1,"Northeast","NJ"
3,1,"South","GA"
2,1,"Northeast","MA"
2,1,"South","FL"
4,1,"South","NC"
2,1,"West","CA"
2,1,"Northeast","RI"
3,1,"South","FL"
4,1,"Midwsest","IL"
3,1,"South","FL"
3,1,"South","NC"
3,2,"Northeast","PA"
4,1,"Midwsest","OH"
2,1,"Midwsest","IN"
3,2,"South","TX"
3,2,"South","MD"
3,2,"West","NV"
3,2,"South","GA"
3,1,"South","VA"
3,2,"Midwsest","KS"
4,2,"South","TX"
2,2,"Midwsest","OH"
3,1,"South","VA"
3,1,"South","NC"
4,1,"South","TX"
2,2,"South","GA"
2,1,"South","MD"
4,2,"Midwsest","OH"
4,1,"South","FL"
2,1,"South","FL"
3,1,"West","NV"
2,1,"Northeast","NY"
3,1,"South","SC"
3,2,"Northeast","NJ"
3,1,"South","AR"
3,1,"South","AR"
2,2,"South","AR"
2,1,"South","GA"
3,1,"Midwsest","OH"
3,2,"West","CA"
3,2,"West","CA"
3,1,"South","AL"
3,2,"West","CA"
2,2,"South","LA"
2,1,"Northeast","MA"
4,2,"South","VA"
2,2,"West","AZ"
3,2,"Northeast","NY"
3,2,"Northeast","NY"
2,2,"West","CA"
2,2,"Northeast","NJ"
3,2,"South","TX"
4,1,"South","GA"
2,1,"South","FL"
2,1,"South","FL"
3,1,"West","ID"
3,2,"South","FL"
2,2,"West","CA"
2,2,"South","NC"
3,2,"South","GA"
4,1,"Midwsest","OH"
2,1,"South","NC"
2,2,"South","FL"
3,2,"South","FL"
3,2,"South","FL"
4,2,"Northeast","PA"
3,2,"South","TX"
3,2,"South","GA"
4,2,"South","GA"
4,2,"South","GA"
3,2,"South","TN"
2,2,"Northeast","NJ"
2,2,"Northeast","NY"
3,2,"South","TN"
3,2,"South","LA"
3,2,"South","GA"
2,2,"South","MD"
3,2,"South","GA"
4,1,"Northeast","NJ"
4,1,"South","TN"
2,2,"West","AZ"
3,2,"South","MD"
2,1,"West","WA"
1,1,"West","CA"
2,2,"Midwsest","WI"
3,2,"South","OK"
3,2,"Northeast","PA"
4,1,"West","CA"
4,1,"South","FL"
3,2,"South","FL"
3,2,"South","LA"
3,2,"South","FL"
3,2,"Northeast","NY"
3,2,"Northeast","ME"
3,2,"Northeast","NY"
3,2,"Northeast","NJ"
2,3,"South","VA"
2,2,"Northeast","MA"
3,2,"South","VA"
4,1,"Northeast","NJ"
4,1,"West","AZ"
3,1,"South","FL"
3,2,"South","FL"
2,2,"South","FL"
4,2,"Midwsest","IA"
2,1,"Midwsest","KS"
4,2,"South","TX"
2,2,"South","TX"
2,2,"South","AL"
3,2,"South","NC"
2,1,"Northeast","NY"
4,1,"South","TX"
2,2,"South","TN"
3,1,"Northeast","NY"
2,2,"Northeast","NJ"
2,2,"Northeast","PA"
4,2,"Northeast","CT"
3,2,"South","KY"
2,1,"Midwsest","IL"
2,1,"Midwsest","MI"
4,2,"Midwsest","WI"
2,1,"South","TN"
2,3,"South","FL"
2,1,"South","NC"
4,1,"South","GA"
2,2,"Northeast","NH"
2,2,"South","TX"
2,2,"South","GA"
2,2,"Northeast","NY"
2,2,"South","WV"
3,2,"South","NC"
3,1,"Midwsest","IL"
4,1,"South","VA"
3,2,"Northeast","NY"
3,2,"South","GA"
2,2,"South","VA"
2,2,"South","VA"
2,2,"South","OK"
2,2,"Northeast","NY"
4,1,"South","OK"
2,1,"Midwsest","MI"
3,1,"Northeast","NJ"
2,2,"South","MD"
3,2,"South","GA"
3,2,"South","TX"
4,1,"South","AL"
4,1,"South","NC"
3,1,"Midwsest","MN"
3,2,"Northeast","NY"
2,2,"South","VA"
3,1,"West","CA"
4,1,"Northeast","NY"
4,2,"Midwsest","IL"
3,1,"South","NC"
3,2,"West","CA"
4,2,"Northeast","PA"
3,2,"Midwsest","MI"
4,2,"Midwsest","IL"
4,2,"South","GA"
3,1,"Northeast","NJ"
2,2,"Northeast","NY"
3,1,"South","TX"
3,1,"South","TX"
4,1,"Northeast","NY"
4,1,"West","WA"
4,2,"West","OR"
4,2,"South","GA"
4,1,"Midwsest","IL"
4,2,"Northeast","NY"
3,1,"South","AL"
4,2,"Northeast","MA"
4,1,"West","UT"
4,1,"Midwsest","IL"
3,1,"Midwsest","IL"
4,1,"Midwsest","ND"
4,2,"South","TX"
4,1,"South","TX"
3,2,"Midwsest","IL"
4,1,"Northeast","NH"
4,3,"West","AK"
3,1,"West","CO"
4,2,"South","FL"
4,1,"Northeast","NY"
3,2,"South","FL"
4,1,"South","NC"
2,1,"Midwsest","IL"
4,2,"Midwsest","MN"
2,1,"West","CO"
3,2,"South","TX"
4,2,"South","MD"
4,2,"South","NC"
4,2,"West","CA"
4,1,"South","FL"
2,1,"South","SC"
3,2,"West","CA"
3,1,"South","TN"
4,1,"Northeast","NY"
4,2,"South","FL"
4,2,"Northeast","NY"
4,2,"South","GA"
3,1,"South","FL"
4,2,"West","CA"
4,2,"South","TX"
2,2,"South","TX"
4,2,"South","NC"
3,2,"South","GA"
4,2,"West","CO"
3,2,"West","ID"
1,1,"West","CA"
2,2,"West","CA"
4,2,"Midwsest","MN"
4,2,"South","FL"
3,2,"West","CA"
3,2,"Midwsest","OH"
4,2,"West","MT"
2,1,"West","AZ"
4,1,"South","TX"
3,2,"West","HI"
2,1,"South","FL"
2,1,"South","MS"
2,1,"Northeast","MA"
3,2,"West","UT"
4,1,"Midwsest","WI"
3,1,"West","CA"
